ETHNICITY,ETHNICITY_RECAT,AB_GROUP,AB_TRIBE,AB_LANG
Indinne,Out,,,
Indian P. B.,Ab,Metis,,
Indian Norwegian B,Ab,Metis,,
Ind S,Out,,,
Icelad,Others,,,
Icalandie,Out,,,
Iaris,Out,,,
I. B. Cree,Ab,Metis,,
I Sc,Out,,,
I Irish,Out,,,
I Ir,Out,,,
Huron Eb,Ab,Metis,,
Hungari,Others,,,
Hung,Out,,,
Hongrie,Out,,,
Hollonsie,Out,,,
Hollen,Out,,,
Holland Dcth,Out,,,
Herbine,Out,,,
Hebrewx,Out,,,
Hebrewse,Out,,,
Hebrew Scotch,Out,,,
Hav,Out,,,
Gurensey,Out,,,
Gree T B,Out,,,
Gree Fr,Out,,,
Gree,Out,,,
Germs,Others,,,
Germine,Others,,,
Germanse,Others,,,
Germanies,Others,,,
German Poland,Others,,,
German Hollander,Others,,,
German C/b,Others,,,
Gemy,Out,,,
Gelgian,Out,,,
Gattatia,Out,,,
Gallacia,Out,,,
Galacia Jew,Out,,,
Galaccian,Out,,,
G Lankaint,Others,,,
G Ir,Others,,,
G D,Others,,,
Friend,Out,,,
Frense,Out,,,
Frenh Canadian,Fr,,,
Frencoe,Out,,,
Frenchy,Out,,,
French Hag,Out,,,
French F.b.,Ab,Metis,,
French E,Out,,,
French B Cree,Ab,Metis,,
Frencas,Fr,,,
Fren??,Out,,,
Frech Canadian,Fr,,,
Francaris,Out,,,
Francais M,Out,,,
Francais ??,Out,,,
Franc C,Out,,,
Franc Ang,Out,,,
Française Fb,Out,,,
Fracnaise,Fr,,,
Fr Hugenot,Out,,,
Fr Fb,Out,,,
Fr Can,Fr,,,
Fort Douglas,Out,,,
Finn Russian,Others,,,
Finlandes,Others,,,
Findlander,Others,,,
Ff,Out,,,
Fb Indian,Out,,,
Far & Arg,Out,,,
Fanch,Out,,,
F. H. Bend,Out,,,
F Pottawamies,Out,,,
F Irl,Out,,,
F B (c),Out,,,
Espanol,Out,,,
Esassaise,Out,,,
Erlandaise,Out,,,
Epis,Out,,,
Eonian,Out,,,
Eocssais,Sc,,,
Enland,Out,,,
Engtish,Out,,,
Englissh,Out,,,
English S/b,Out,,,
English Mic,Out,,,
English Inadian,Out,,,
English I,Out,,,
Englis??,Out,,,
Englant,Out,,,
Englane,Out,,,
England Scotch,Out,,,
Englah,Out,,,
Engils,Out,,,
Enghis,Out,,,
Eng Sct,Out,,,
Eng Ob,Out,,,
Eng Ir,Out,,,
Eng Heb,Out,,,
Eng C,Out,,,
Enalish,Out,,,
En French,Out,,,
Eeg,Out,,,
Ed M F,Out,,,
Ecossiaise,Sc,,,
Ecossas,Sc,,,
Ecossaois,Sc,,,
Ecossaire,Sc,,,
Ecosaisman,Sc,,,
Ecos Angla,Out,,,
Ecissausse,Out,,,
Ecasaise,Out,,,
E/b O/b,Ab,Metis,,
E. English,Out,,,
E Soud,Out,,,
E Sc,Out,,,
E O B,Out,,,
E French,Out,,,
E Eng,Out,,,
E Canadian,Out,,,
E B Norwegin,Ab,Metis,,
Dfrançaise,Fr,,,
Delaware Hb,Ab,Metis,,
Delaware Fb,Ab,Metis,,
Danves,Out,,,
Danesh,Others,,,
Damxsh,Out,,,
Curch England,Out,,,
Crr E B,Out,,,
Criss M F,Out,,,
Cri M I,Out,,,
Cri M B,Out,,,
Cree O.b,Ab,Metis,,
Cree O B Cree E B,Ab,Metis,,
Cree J B,Ab,Metis,,
Cree Irish I B,Ab,Metis,,
Cree F C,Ab,Metis,,
Cree E B.,Ab,Metis,,
Cox,Out,,,
Cockenewaya Indian,Out,,,
Co Irish,Out,,,
Chippewa M F,Ab,Metis,,
