ETHNICITY,ETHNICITY_RECAT,AB_GROUP,AB_TRIBE,AB_LANG
Angle,Others,,,
Angldaise,Out,,,
Anglass,Out,,,
Anglash,Out,,,
Anglane,Out,,,
Anglaise Eb,Ab,Metis,,
Anglaine,Out,,,
Anglaiese,Out,,,
Anglaice,Out,,,
Angetera,Out,,,
Angelise,Out,,,
Angelaise,Out,,,
Angalaia,Out,,,
Ang M,Out,,,
Ang Fr,Out,,,
Anelaise,Out,,,
Andaisse,Out,,,
American Negro,Others,,,
American Eng,En,,,
American C,Out,,,
Ameria,Out,,,
Amande,Out,,,
Am Ob,Out,,,
Almonde,Out,,,
Almond,Out,,,
Allinand,Out,,,
Allermande,Others,,,
Allemag,Out,,,
All,Out,,,
Aliglan,Out,,,
Algonquin S B,Ab,Metis,,
Algonquin O F B,Ab,Metis,,
Algonquin M F,Ab,Metis,,
Algonquin I B,Ab,Metis,,
Algongain Fb,Ab,Metis,,
Alemagne,Out,,,
Alburest,Out,,,
Albmarde,Out,,,
Albman,Out,,,
Alberta,Out,,,
Alandaise,Out,,,
Alanad,Out,,,
Ahwha Mis,Out,,,
Africann,Others,,,
Afrcan,Others,,,
Affrican,Out,,,
Ac Franc,Out,,,
Aberon M Fr,Out,,,
Abénskis,Out,,,
A M O B,Out,,,
A English,Out,,,
A Ecossaise,Out,,,
?? F/b,Out,,,
?? F B,Out,,,
?? Cil Li Kulla Eb,Out,,,
(?),Out,,,
!1,Out,,,
Zuloo,Others,,,
Zalician,Others,,,
Yancey,Others,,,
Yale Ob French,Ab,Metis,,
Yab Lube,Others,,,
Y Ns,Others,,,
Y Duch,Others,,,
Wyariotte O C,Ab,Metis,,
Wyandotte Tb,Ab,Metis,,
Wrelian,Others,,,
Work,Others,,,
Worascis,Others,,,
Wissa,Others,,,
White-scotch,Sc,,,
Whales,Others,,,
Weymouth,Others,,,
West Irelan,Ir,,,
West Inder,Others,,,
West Ind,Others,,,
West ??,Out,,,
West,Others,,,
Wesls,Others,,,
Weshman,Others,,,
Wesbs,Others,,,
Wersh,Others,,,
Welsh Us??,Out,,,
Welsh United States,Others,,,
Welsh Man,Others,,,
Welsh Eng,Others,,,
Welsh E,Others,,,
Welsch,Others,,,
Weles,Others,,,
Weleb,Others,,,
Welck,Others,,,
Welash,Others,,,
Weland,Others,,,
Wedish,Others,,,
Weclsh,Others,,,
Wech,Others,,,
Webls,Others,,,
We Ob,Others,,,
We D,Others,,,
We Ca,Others,,,
Wcl,Others,,,
Wb,Others,,,
Wash,Others,,,
Wam Absan,Others,,,
Walshman,Others,,,
Walsen,Others,,,
Wallsh,Others,,,
Waleas,Others,,,
Walds,Others,,,
Walatte,Out,,,
Waiondotte,Out,,,
Wadlch,Others,,,
Wèlsh,Others,,,
Wa Absum,Others,,,
W. Eng,Others,,,
W Scotch,Sc,,,
W E S,Out,,,
W Anglais,Others,,,
Vb,Others,,,
Vanscor,Others,,,
Vanch,Others,,,
Uyaudotte,Out,,,
Utic E B,Others,,,
Usa New York,Others,,,
Us Ny,Others,,,
Us Irish,Ir,,,
Us I Ab,Out,,,
Us I,Out,,,
Us England,En,,,
Us American,Others,,,
Unglaise,Others,,,
Unandaca,Others,,,
Ueludcht,Out,,,
Uel Eng,Out,,,
Ue,Out,,,
Uclucht,Others,,,
Uclaclslet,Others,,,
Uchulet,Others,,,
U Steta,Others,,,
U States Scotch,Sc,,,
U Sc,Sc,,,
U Satate,Others,,,
U S Eng,En,,,
U E Lezal,Others,,,
U E Largahat,Others,,,
Tyrcelian,Others,,,
Tuscarora Eb,Ab,Metis,,
Turguie,Others,,,
Tuolsbt,Others,,,
Tukudh,Others,,,
Tuchaht,Others,,,
Tsimpseau Fb,Ab,Metis,,
Tsawante I Anl,Out,,,
Tsawahand,Out,,,
Tsaum A Cul,Out,,,
Tsa Wans Maruch,Out,,,
Trob Iwnn,Others,,,
Trish,Others,,,
Treefe,Others,,,
Tranltanksa,Others,,,
Traçaise,Out,,,
Towada F B,Out,,,
Thorntown River Belline,Out,,,
Thompson Scotch B,Ab,Metis,,
Thompson Sb,Ab,Metis,,
Thompson Irish Breed,Ab,Metis,,
Thomp Scotch E,Ab,Metis,,
Thomp Sc,Ab,Metis,,
Thomp S E,Ab,Metis,,
Thomp German C,Ab,Metis,,
Thomp Eng E,Ab,Metis,,
Thomp Austrian E,Ab,Metis,,
Thomp Austria E,Ab,Metis,,
Thom French C,Ab,Metis,,
Tholondais,Others,,,
Tgl Ang,Others,,,
Tercora,Others,,,
Tench,Others,,,
Tele D. Bull,Out,,,
Teance,Others,,,
Tawawe,Others,,,
Tawas Tié Me,Out,,,
Taraktink,Out,,,
Tarakteuk,Out,,,
Tankey Dule,Out,,,
Tankey Dulde,Out,,,
Tangaise,Out,,,
Talkaux,Out,,,
Tailor,Others,,,
Tà Nakteuk,Out,,,
Ta Wak Tenk,Out,,,
Ta Wak Lack,Out,,,
Ta Nok Tuk,Out,,,
T V Dutch,Others,,,
T German,Others,,,
Syriens,Others,,,
Syriennee,Others,,,
Syrienceis,Others,,,
Syrianne,Others,,,
Syrianise,Others,,,
Syisse,Others,,,
Syeeden,Others,,,
Swwish,Others,,,
Swua,Others,,,
Swrik,Others,,,
Swltz,Others,,,
Swizs,Others,,,
Switzld,Others,,,
Switzerland France,Others,,,
Switzerl,Others,,,
Switzer,Others,,,
Switzeland,Others,,,
Switzarland,Others,,,
Switss,Others,,,
Switland,Others,,,
Switheren,Others,,,
Swithe,Others,,,
Switezerland,Others,,,
Switchland,Others,,,
Swissalan,Others,,,
Swiss Canadia,Others,,,
Swip,Others,,,
Swine,Others,,,
Swied,Others,,,
Swids,Others,,,
Swice,Others,,,
Swi??,Out,,,
Swesse,Others,,,
Swes,Others,,,
Swerden,Others,,,
Swen,Others,,,
Swelish,Others,,,
Sweis,Others,,,
Sweiden,Others,,,
Sweid,Others,,,
Swees,Others,,,
Sweeish,Others,,,
Sweedom,Others,,,
Sweedin,Others,,,
Sweedich,Others,,,
Sweedic,Others,,,
Sweedesb,Others,,,
Sweedem,Others,,,
Swee Kay Ns,Out,,,
Swedsh,Others,,,
Swedois,Others,,,
Swedoi,Others,,,
Swediste,Others,,,
Swedisko,Others,,,
Swedis,Others,,,
Swedien,Others,,,
Swediel,Others,,,
Sweden Norway M,Others,,,
Swede Eng,Others,,,
Swedds,Others,,,
Swedde,Others,,,
Swedash,Others,,,
Swedane,Others,,,
Swedais,Others,,,
Sweda,Others,,,
Swecdish,Others,,,
Swecath,Others,,,
Sweada,Others,,,
Swe??,Out,,,
Swddish,Others,,,
Swdde,Others,,,
Swanefey,Others,,,
Swampie Ob,Ab,Metis,,
Swédoin,Others,,,
Swèdoir,Others,,,
Svenden,Others,,,
Svcotch,Sc,,,
Sussex,Others,,,
Susp Indian,Out,,,
Sushwap Eb,Out,,,
Sursh,Others,,,
Suptond English,Others,,,
Suinas,Others,,,
Suidoise,Others,,,
Suidien,Others,,,
Suicene,Others,,,
Suias,Others,,,
Suesse,Others,,,
Suess,Others,,,
Sueole,Others,,,
Sueguois,Others,,,
Suedvise,Others,,,
Suedore,Others,,,
Suedorae,Others,,,
Suede,Others,,,
Suedais,Others,,,
Sudian. O. B. German,Others,,,
Sudia O. B.,Others,,,
Sudaise,Others,,,
Suchma,Others,,,
Suédorie,Out,,,
Suédoire,Out,,,
Stusctch,Others,,,
Stotish,Out,,,
Stotch,Out,,,
Storcy,Out,,,
Stoner,Out,,,
Stoa??,Out,,,
Steook,Others,,,
Ste Natrooe Fb,Out,,,
Station,Others,,,
States,Others,,,
Start,Out,,,
Stalion,Others,,,
Staleam,Others,,,
St. Jabal,Others,,,
Srish,Out,,,
Squawish B,Out,,,
Spansh,Others,,,
Spanisk,Others,,,
Spaneard,Others,,,
Spandard,Others,,,
Span,Others,,,
Spamard,Others,,,
Spainsh B,Others,,,
Southren Indian,Out,,,
Souderse,Out,,,
Soto Fb,Out,,,
Sotcland,Sc,,,
Sotch Sb,Out,,,
Sota,Out,,,
Sosfoe,Out,,,
Sorex,Out,,,
Soocht,Out,,,
Sontaur S B,Out,,,
Soland,Out,,,
Sofo Ob,Out,,,
Sofo Fb,Out,,,
Socht,Out,,,
Soccth,Out,,,
Sob,Out,,,
Snead,Out,,,
Smesde,Out,,,
Smadist,Out,,,
Slyrican,Out,,,
Slerlande,Out,,,
Slave S B,Ab,Metis,,
Slav Polish,Ab,Metis,,
Skotrand,Out,,,
Sk,Out,,,
Sjiamard,Out,,,
Siwash S B,Out,,,
Siviss,Out,,,
Sirius,Others,,,
Siriess,Others,,,
Sirien,Others,,,
Sirian,Others,,,
Siny,Out,,,
Single,Out,,,
Sin,Out,,,
Simcoe,Out,,,
Siamese,Out,,,
Shukew-ank,Out,,,
Sheridan,Out,,,
Sheecburgs,Out,,,
Shawnee,Out,,,
Shavian,Out,,,
Shank I B,Out,,,
Shanish,Out,,,
Shanie,Out,,,
Shanard,Out,,,
Shairsh,Out,,,
Shain,Out,,,
Sewish,Out,,,
Sewejdg,Out,,,
Sevead,Out,,,
Setch,Out,,,
Set,Out,,,
Sest,Out,,,
Servise,Out,,,
Servian,Out,,,
Servant,Out,,,
Serts,Out,,,
Sertoe,Out,,,
Sersegmom,Out,,,
Serid,Out,,,
Seria,Out,,,
Serb,Others,,,
Seocdisle,Out,,,
Secoth,Out,,,
Secisse,Out,,,
Sechel Indian,Ab,,,
Sechdt,Out,,,
Secede,Out,,,
Secdois,Out,,,
Seandinavian,Out,,,
Sean,Out,,,
Scwash I,Out,,,
Sctsotch,Out,,,
Sctos,Out,,,
Scth & Eng,Out,,,
Sct Eng,Out,,,
Sct American,Out,,,
Sct (uel),Out,,,
Scsott,Out,,,
Scsch,Out,,,
Scpot,Out,,,
Scotttish,Sc,,,
Scottists,Sc,,,
Scottist,Sc,,,
Scottest,Out,,,
Scotl'd,Sc,,,
Scotlang,Out,,,
Scothan,Out,,,
Scoth N B,Out,,,
Scoth Irish,Out,,,
Scoth B.,Out,,,
Scoth American,Sc,,,
Scotctt,Sc,,,
Scotclh,Sc,,,
Scotchsan,Out,,,
Scotchs/b,Ab,Metis,,
Scotchs B,Ab,Metis,,
Scotchland,Sc,,,
Scotchis,Out,,,
Scotchesh,Out,,,
Scotch&french,Out,,,
Scotch Sh,Out,,,
Scotch Se,Out,,,
Scotch Scotland,Sc,,,
Scotch S C,Out,,,
Scotch Presby'n,Out,,,
Scotch Presb,Out,,,
Scotch P??p,Out,,,
Scotch Olt,Out,,,
Scotch O/b,Ab,Metis,,
Scotch O. B.,Ab,Metis,,
Scotch Kb,Out,,,
Scotch Irash,Out,,,
Scotch Ind,Out,,,
Scotch I,Out,,,
Scotch Holland,Sc,,,
Scotch German,Sc,,,
Scotch G,Out,,,
Scotch Cree V,Ab,Metis,,
Scotch Cree Sb,Ab,Metis,,
Scotch Cree O B,Ab,Metis,,
Scotch Cree C,Ab,Metis,,
Scotch Cle,Out,,,
Scotch Chip S B,Ab,Metis,,
Scotch Chip B,Ab,Metis,,
Scotch Can,Sc,,,
Scotch Brseda,Out,,,
Scotch B Yale Ob,Ab,Metis,,
Scotch B C,Out,,,
Scotch B B,Out,,,
Scotch American,Sc,,,
Scotch Americaine,Sc,,,
Scotch & I,Out,,,
Scotch & Eng,Out,,,
Scota,Out,,,
Scot??,Out,,,
Scot Gaes,Out,,,
Scot Eng,Out,,,
Scot B,Out,,,
Scot & Irish,Out,,,
Sco't,Out,,,
Scossaisse,Sc,,,
Scon,Out,,,
Scolt,Out,,,
Scole,Out,,,
Scoedish,Out,,,
Scocth A,Out,,,
Scoch Man,Out,,,
Scoch B,Out,,,
Scoad,Out,,,
Sco Irish,Out,,,
Sco Hish,Out,,,
Sco English,Out,,,
Sclich,Out,,,
Sclard,Out,,,
Scht,Out,,,
Scawonic,Out,,,
Scanvian,Others,,,
Scandinn,Others,,,
Scandini,Others,,,
Scandinavian W,Others,,,
Scandianan,Others,,,
Scandanivra,Others,,,
Scandanav,Others,,,
Scandanain,Others,,,
Scandan,Others,,,
Scancaise,Out,,,
Sc??,Out,,,
Sc Us,Out,,,
Sc U Eng,Out,,,
Sc S/b,Out,,,
Sc Porugium,Out,,,
Sc Loy,Out,,,
Sc Ind,Out,,,
Sc Fb,Out,,,
Sc C B,Out,,,
Sc Breed,Out,,,
Sc & Ir,Out,,,
Sb Shuswap,Ab,Metis,,
Sawiss,Out,,,
Sawis,Out,,,
Savoyard French,Out,,,
Savoogare,Out,,,
Sauvage Alronuir,Out,,,
Sauvage Algonquiann,Out,,,
Sask,Out,,,
Sarth,Out,,,
Sark,Out,,,
Santan O B,Out,,,
Sant B,Out,,,
Sanoazesse,Out,,,
Sanish,Out,,,
Sandwich Isl,Out,,,
Sandakan,Out,,,
San Met Fr,Out,,,
Samoa,Others,,,
Salteaux F B,Ab,Metis,,
Salteaux E B,Ab,Metis,,
Salbean,Out,,,
Saish,Out,,,
Sahltan,Out,,,
Saedoise,Out,,,
S??,Out,,,
S/brud,Out,,,
S.b,Out,,,
S. B.,Out,,,
S Sweeden,Out,,,
S Swedish,Out,,,
S Englis,Out,,,
S E I Cree,Ab,Metis,,
S Dutch,Out,,,
S Cree,Ab,Metis,,
S Clask,Out,,,
S Can,Out,,,
S Brock,Out,,,
S Breed Cree,Ab,Metis,,
S Brb,Out,,,
S B Scotch,Out,,,
S B Indian,Out,,,
S 1/2 B,Out,,,
Ruthenon,Out,,,
Rustrian,Out,,,
Russianar,Out,,,
Russian Jewess,Out,,,
Russia Pollander,Out,,,
Russia Island,Out,,,
Russen,Out,,,
Russe Irlandaise,Out,,,
Russé,Out,,,
Rusiana,Out,,,
Rushin,Out,,,
Rushen Jew,Out,,,
Rus Fin,Out,,,
Rumonia,Out,,,
Rume,Out,,,
Roushia,Out,,,
Roumanise,Out,,,
Roumanie Sanah,Out,,,
Rouman Jew,Others,,,
Rombson River,Out,,,
Romanion,Others,,,
Romanan,Others,,,
Roman Catholic,Others,,,
Roland,Out,,,
Rodancher,Out,,,
Res Dutch,Out,,,
Ren Dutch,Out,,,
Regrd African,Out,,,
Rd Owen,Out,,,
Rc,Out,,,
Ralf Breed,Out,,,
Rags Ired,Out,,,
R. M. C.,Out,,,
R Jewish,Out,,,
R Ir,Out,,,
R German,Others,,,
R Cath,Out,,,
Quesnel E. B.,Out,,,
Que M F,Out,,,
Qubec English Ep,Out,,,
Q Irish U,Out,,,
Pway Rams,Out,,,
Pussian,Out,,,
Push,Out,,,
Pt B,Out,,,
Ps,Out,,,
Prustia,Out,,,
Prussian Isl,Out,,,
Prussa,Out,,,
Prus,Out,,,
Prt,Out,,,
Probably English Usa,Out,,,
Pressian,Out,,,
Pres,Out,,,
Preren,Out,,,
Prenct,Out,,,
Prale,Out,,,
Praes,Out,,,
Pottaw,Out,,,
Pott,Out,,,
Potewanne,Out,,,
Porwaggion,Others,,,
Portutue,Others,,,
Portugues,Others,,,
Portuguaise,Others,,,
Portugest,Others,,,
Portugesse,Others,,,
Portugess,Others,,,
Portuge,Others,,,
Portugais,Others,,,
Portiges,Others,,,
Portigaise,Others,,,
Portergaise,Others,,,
Porteguise,Others,,,
Portegese,Others,,,
Porta,Others,,,
Port B,Others,,,
Port,Others,,,
Porlugraiste,Others,,,
Polorish,Out,,,
Polorcais,Out,,,
Poloneric,Out,,,
Polonard,Out,,,
Polonaire,Out,,,
Polognais,Out,,,
Polneaird,Out,,,
Pollonaise,Out,,,
Pollock Jew,Out,,,
Pollad,Out,,,
Polish Jewish,Others,,,
Polert,Out,,,
Polen,Out,,,
Polelander,Out,,,
Poleland,Out,,,
Pole Jew,Out,,,
Polau J,Out,,,
Polar,Out,,,
Polanois,Out,,,
Polandar,Out,,,
Polandaise,Out,,,
Poland Jew,Out,,,
Poland Jas,Out,,,
Pol Dutch,Out,,,
Poi,Out,,,
Plutoto,Out,,,
Pinlander,Out,,,
Phillipines,Others,,,
Philippines,Others,,,
Philipino,Others,,,
Phi,Out,,,
Phetng,Out,,,
Phatholish,Out,,,
Peru,Others,,,
Perrieron,Out,,,
Permian,Out,,,
Perbien,Out,,,
Peosrn Dutch,Out,,,
Penss Dutch,Out,,,
Pense Irish,Out,,,
Pens Dutch,Out,,,
Pennyer Dutch,Out,,,
Pennsylvania,Out,,,
Penn. D.,Out,,,
Penn. D,Out,,,
Penn Scotch,Out,,,
Pen. Dutch,Out,,,
Pen Cutch,Out,,,
Pemserem Dutch,Out,,,
Pe,Out,,,
Pdish,Out,,,
Patrickisnne,Out,,,
Partugese,Out,,,
Partriquce,Out,,,
Parcykuns,Out,,,
Papua,Out,,,
Panish,Out,,,
Pan Dutel,Out,,,
Palo,Out,,,
Paland,Out,,,
Pain Dutch,Out,,,
Pachsenaht,Out,,,
Pacheena,Out,,,
Pa Cree,Ab,Metis,,
P. German,Out,,,
P. Dutch,Out,,,
P. D. Dutch,Out,,,
P V Dutch,Out,,,
P S Dutch,Out,,,
P Polish,Out,,,
P English,Out,,,
Oxhney E B,Out,,,
Ower Kans,Out,,,
Owatava,Out,,,
Ouida,Out,,,
Ottera Breed,Out,,,
Ottawa Sb,Ab,Metis,,
Ottawa Ib,Ab,Metis,,
Ostran,Out,,,
Osoto Tribe,Out,,,
Oso,Out,,,
Osbrcure,Out,,,
Orway Kune,Out,,,
Orsht,Out,,,
Ornglaise,Out,,,
Orkeny Islan,Out,,,
Orkany B,Out,,,
Or Indiana,Out,,,
Onta,Out,,,
Onondaga E B,Ab,Metis,,
Oneigla,Out,,,
Oneida Iribe,Ab,Metis,,
Oneida H B,Ab,Metis,,
On Sport,Out,,,
On B Norwegin,Out,,,
Omglisise,Out,,,
Ollemanda,Out,,,
Olgonquine,Out,,,
Ojibbewa S B,Ab,Metis,,
Ojibbewa French,Ab,Metis,,
Ojebway F. B,Ab,Metis,,
"Ojebway ""sb""",Ab,Metis,,
"Ojebway ""fb""",Ab,Metis,,
Ohumel,Out,,,
Ohil?? Sctore,Out,,,
Ohammel Tribe,Out,,,
Ohalf Breed Ob,Out,,,
Ogallatta Sctore,Out,,,
Obigway I.,Ab,Metis,,
Ob Scotch B,Out,,,
Ob Mohawk,Ab,Metis,,
Ob Eb,Out,,,
Oaue,Out,,,
O/b,Out,,,
O. B. Cree,Ab,Metis,,
O Jibway,Out,,,
O Jebway Indian,Out,,,
O Indian B,Out,,,
O Frerege,Out,,,
O England,Out,,,
O Dutch,Out,,,
O Bruce,Out,,,
O Bread Cree,Ab,Metis,,
O B Other Breed,Out,,,
O B Norwegin,Out,,,
O B Indian,Out,,,
O B Cree Canadian,Ab,Metis,,
O B Breed,Out,,,
Nysa Black Colorad,Out,,,
Nwt,Out,,,
Nwitti,Out,,,
Nu Wetti,Out,,,
Ns Scotch,Out,,,
Nowugn,Others,,,
Nowigieme,Others,,,
Nowige,Others,,,
Nowhawk,Out,,,
Noweyan,Others,,,
Noweigar,Others,,,
Nowegin,Others,,,
Nowegienne,Others,,,
Nowegia,Others,,,
Nowaysor,Others,,,
Nowaige,Others,,,
Nowagian,Others,,,
Nowégienne,Out,,,
Novegien,Others,,,
Nough Abi Wagues,Others,,,
Nos Sair,Others,,,
Noryway,Others,,,
Norwrigh,Others,,,
Norwigin,Others,,,
Norwglas,Others,,,
Norwgian,Others,,,
Norwgeian,Others,,,
Norwge,Others,,,
Norwgan,Others,,,
Norwgain,Others,,,
Norwergian,Others,,,
Norwen,Others,,,
Norweigia,Others,,,
Norweigar,Others,,,
Norweiga,Others,,,
Norwegins,Others,,,
Norwegine,Others,,,
Norwegin B,Others,,,
Norwegiean,Others,,,
Norwegians,Others,,,
Norwegianne,Others,,,
Norwegian O B,Others,,,
Norwegh,Others,,,
Norweger,Others,,,
Norwegean,Others,,,
Norweegian,Others,,,
Norwedian,Others,,,
Norwedgion,Others,,,
Norwedgian,Others,,,
Norweagon,Others,,,
Norweagan,Others,,,
Norwayian,Others,,,
Norwaygian,Others,,,
Norwayan,Others,,,
Norway Jin,Others,,,
Norwégienne,Others,,,
Norwégiennè,Others,,,
Norvigeran,Others,,,
Norvegur,Others,,,
Norveguim,Others,,,
Norvegieune,Others,,,
Norvegier,Others,,,
Norvegiens,Others,,,
Norvegian,Others,,,
Norvegièn,Others,,,
Norvegeine,Others,,,
Norvégiennne,Others,,,
Norvége,Others,,,
Norvègiennè,Others,,,
Noruegian,Others,,,
Noruègiene,Others,,,
North Buln,Out,,,
North American Oneida Fb,Ab,Metis,,
North,Out,,,
Norseay,Out,,,
Norsaigien,Out,,,
Nornagien,Out,,,
Norman Irish,Out,,,
Norman American,Out,,,
Norman,Out,,,
Norgeigan,Others,,,
Norewegian,Others,,,
Noreweagan,Others,,,
Norevgian,Others,,,
Noreg,Out,,,
Norderme,Out,,,
Nongerlan,Out,,,
Nondownie,Out,,,
Non Jomie,Out,,,
Nomsgian,Out,,,
Nolbander,Out,,,
Noeslobo,Out,,,
Nnglish,Out,,,
Nitwaht,Out,,,
Nish Suppoard,Out,,,
Nimkesh,Out,,,
Niman,Out,,,
Nim Kish,Out,,,
Nicola Ob German,Out,,,
Nialy,Out,,,
Newfoun,Others,,,
Neweigan,Others,,,
New York,Others,,,
New Witti,Others,,,
New Virginia,Others,,,
New Conner,Out,,,
New Brunswick,Others,,,
Nevegien,Others,,,
Nerwitte,Out,,,
Nermeger,Out,,,
Nemkish Eb,Out,,,
Nellsh,Out,,,
Nelch,Out,,,
Negrou,Out,,,
Negros,Out,,,
Negro Hingne,Out,,,
Negro ?? B,Out,,,
Negres,Out,,,
Negero,Out,,,
Nef,Out,,,
Ne Rwrakta,Out,,,
Ne Hunkta,Out,,,
Nd Sevln,Out,,,
Nawngan,Out,,,
Nawatti,Out,,,
Native,Out,,,
Narwigian,Out,,,
Naraegian,Out,,,
Nandmanis,Out,,,
Nan Loibe,Out,,,
Nan B,Out,,,
Nakor Indian,Out,,,
Nagress,Out,,,
Na Ané,Out,,,
Na,Out,,,
N Scotia,Out,,,
N Scotch,Out,,,
N S Wales,Out,,,
N Hb,Out,,,
N Comand,Out,,,
N Brun,Out,,,
Musquenus,Out,,,
Muskego,Others,,,
Mundese,Out,,,
Muncy,Out,,,
Mudonne,Out,,,
Muckego,Out,,,
Msh,Out,,,
Mowdrall Indian,Out,,,
Moutehut,Out,,,
Moutcheht,Out,,,
Moutchahl,Out,,,
Moshagman,Out,,,
Moryloian,Out,,,
Morwergaor,Out,,,
Mor,Out,,,
Mopplpi,Out,,,
Montreal,Others,,,
Montchat,Out,,,
Montagnuin,Out,,,
Monroe,Out,,,
Monique Fb,Out,,,
Mongolia,Others,,,
Mondamin,Out,,,
Mokawk F B,Ab,Metis,,
Mohigan,Out,,,
Mohawk Rc,Ab,Metis,,
Mohawk O B,Ab,Metis,,
Mohawk Hb,Ab,Metis,,
Mohawk Eb,Ab,Metis,,
Mohawk D B,Ab,Metis,,
Mohank H.b.e.,Out,,,
Mobeck E. R.,Out,,,
Moawby,Out,,,
Moa-san,Out,,,
Mississaugas E Bmississaugas E B,Ab,Metis,,
Miss,Out,,,
Minanse,Out,,,
Milohawk,Out,,,
Milliceth,Out,,,
Milis Frang,Out,,,
Milicite,Out,,,
Milesien,Out,,,
Milente,Out,,,
Miernac,Out,,,
Miconae,Out,,,
Micmec Sb,Ab,Metis,,
Micmac Nb,Ab,Metis,,
Micmac I B,Ab,Metis,,
Micmac F B,Ab,Metis,,
Micmac El,Ab,Metis,,
Micm,Out,,,
Mickmat,Out,,,
Micha Ang,Out,,,
Mic Mass Indian,Out,,,
Mic Mae,Out,,,
Mic Mack,Out,,,
Mi,Out,,,
Mgre,Out,,,
Mg,Out,,,
Metodist,Out,,,
Metise,Ab,Metis,,
Metis,Ab,Metis,,
Metif Ind Hb,Out,,,
Methuen,Out,,,
Meter,Out,,,
Metat-anglais,Out,,,
Met Mar Ec,Out,,,
Merusie Metet,Out,,,
Merusie Met,Out,,,
Mersester,Out,,,
Merrissie M,Out,,,
Mensleb Knce,Out,,,
Menrinnite,Out,,,
Melish,Out,,,
Melis Franç,Out,,,
Melis Fr,Out,,,
Melin Alout,Out,,,
Meitch,Out,,,
Meiss,Out,,,
Meilato,Out,,,
Medth,Out,,,
Meard,Out,,,
Md Sb,Out,,,
Mchgolian,Out,,,
Mbi,Out,,,
Maxman,Out,,,
Matshottahl,Out,,,
Mathillast,Out,,,
Math B,Out,,,
Matchettaht,Out,,,
Matchalist,Out,,,
Mata,Out,,,
Masset,Out,,,
Mass,Out,,,
Mase,Out,,,
Marx,Out,,,
Marchman,Out,,,
Manyman,Out,,,
Many,Out,,,
Manxman Manxmen,Out,,,
Manson,Out,,,
Mann,Out,,,
Manex,Out,,,
Mane Isle Of Man,Out,,,
Mane,Out,,,
Mande,Others,,,
Mandarse,Out,,,
Mandan,Out,,,
Managin,Out,,,
Man Eb,Out,,,
Mamia Lil Li Kalla,Out,,,
Malters,Out,,,
Maloh,Out,,,
Malicite,Out,,,
Malay,Others,,,
Maine E B,Out,,,
Maie Ang,Out,,,
Mahtilpe,Out,,,
Mahtilpé,Out,,,
Mahtilipe,Out,,,
Mahawk Suta B,Out,,,
Magnan,Out,,,
Magar Ed Lé Kera,Out,,,
Magala,Out,,,
Maduk,Out,,,
Macuanob,Out,,,
Mac,Out,,,
Métisse,Ab,Metis,,
Mètis Irl Cree,Ab,Metis,,
Mètis F Cree,Ab,Metis,,
Ma Wa Lel Li Kulla,Out,,,
Ma Melilte Hulla,Out,,,
Ma Ma La L Li Kuba,Out,,,
Ma Ma Cole Ce Kola,Out,,,
Ma Ma Ae Kae,Out,,,
M.f.,Out,,,
M Française,Out,,,
M F Science,Out,,,
M F Santeux,Out,,,
M F Pct,Out,,,
M F Francaise,Out,,,
M F Eyee,Out,,,
M F Cri F B,Out,,,
M F Asniboia,Out,,,
M Ecosse,Out,,,
M E Cree E B,Ab,Metis,,
M Cree E B,Ab,Metis,,
M C,Out,,,
M Ang,Out,,,
M All Cree,Ab,Metis,,
M ??,Out,,,
Lytton,Out,,,
Luxembourg,Others,,,
Luredish,Out,,,
Lurdish,Out,,,
Lunian,Out,,,
Lrlandaise,Out,,,
Linlande,Out,,,
Lineman,Out,,,
Lin,Out,,,
Lillooet E B,Ab,Metis,,
Len Ducth,Out,,,
Leaneaise,Out,,,
Laty Ned,Out,,,
Laporer,Out,,,
Lanoise,Out,,,
Langley E/b,Out,,,
L English,Out,,,
Kydah,Out,,,
Ky,Out,,,
Kwaginlt Eb,Ab,Metis,,
Kwageult Eb,Ab,Metis,,
Kva La Ta,Out,,,
Kuowshe La,Out,,,
Kta Sit Dis,Out,,,
Kqukalt,Out,,,
Kostte No,Out,,,
Koskime,Ab,,,
Kos Kime,Ab,,,
Kootenay Cb,Ab,Metis,,
Klaskeno,Out,,,
Klaisribois,Out,,,
Kla Witsis,Out,,,
Kiva X La,Out,,,
Kiankish Sb,Out,,,
Ketksner,Out,,,
Kelsonnraht,Out,,,
Kelsenaht,Out,,,
Kelsenabt,Out,,,
Kelseenaht,Out,,,
Kelscanaht,Out,,,
Kelsèmaht,Out,,,
Keiagerst,Out,,,
Kb,Out,,,
Kawguilt,Out,,,
Karkoms,Out,,,
Kanska Ob,Out,,,
Kalkineht,Out,,,
Jwoses,Out,,,
Jur,Out,,,
Juibe,Out,,,
Judaic,Out,,,
Joure Allemande,Out,,,
Job Gress,Out,,,
Jnnsino,Out,,,
Jewiss,Others,,,
Jewish German,Others,,,
Jewish E. B.,Ab,Metis,,
Jew Russian,Others,,,
Jew Ob,Ab,Metis,,
Jew Austria,Others,,,
Jevish,Out,,,
Jeuf,Out,,,
Jessey,Out,,,
Jessaise,Out,,,
Jerusalem,Out,,,
Jerure,Out,,,
Jersian,Out,,,
Jershish,Out,,,
Jersey Eng,Out,,,
Jerseogman,Out,,,
